name,position,team,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,In_DreamTeam
James Ward-Prowse,MID,Southampton,0,0,20,0,30.5,341,4,3,0,5.2,21.6,2021-08-14T14:00:00Z,90,8,0,0,0,0,1,0,299682,1,3,0,2,0,0,0,65,FALSE,0,1,0
Bruno Miguel Borges Fernandes,MID,Man Utd,0,3,61,0,35.9,277,6,1,3,20.1,106.2,2021-08-14T11:30:00Z,90,10,0,0,0,0,1,0,3381004,1,5,59,20,0,0,0,120,TRUE,0,1,0
James McArthur,MID,Crystal Palace,0,0,22,0,26,148,3,3,0,5.5,24.8,2021-08-14T14:00:00Z,90,6,0,0,0,0,1,0,16857,0,3,4,2,0,0,0,45,FALSE,0,1,0
Jairo Riedewald,MID,Crystal Palace,0,0,8,0,5.4,157,3,3,0,0.8,2.8,2021-08-14T14:00:00Z,76,6,0,0,0,0,1,0,2741,0,3,0,2,0,0,0,50,FALSE,0,1,0
Jeffrey Schlupp,MID,Crystal Palace,0,0,3,0,1.4,155,3,2,0,0.6,1,2021-08-14T14:00:00Z,56,6,0,0,0,0,1,0,4667,0,3,4,1,0,0,0,55,FALSE,0,1,0
Richarlison de Andrade,FWD,Everton,1,3,41,0,29.3,180,4,1,1,13,63.8,2021-08-14T14:00:00Z,88,16,0,0,0,0,1,0,640325,1,3,37,11,0,0,0,75,TRUE,1,1,0
Ederson Santana de Moraes,GK,Man City,0,0,10,0,0,257,10,1,0,0.7,6.6,2021-08-15T15:30:00Z,90,17,0,0,0,0,1,1,683423,0,1,0,2,0,0,0,60,FALSE,0,1,0
Liam Cooper,DEF,Leeds,0,0,10,0,10.5,184,6,5,0,3.8,25.4,2021-08-14T11:30:00Z,90,13,0,0,0,0,1,0,21528,1,5,2,-1,0,0,0,45,FALSE,1,1,0
Matt Targett,DEF,Aston Villa,0,0,4,0,14.8,39,8,2,0,1.8,3,2021-08-14T14:00:00Z,45,18,0,0,0,0,1,0,675492,2,3,0,0,0,0,0,50,FALSE,0,1,0
Adama Traoré,MID,Wolves,0,0,10,0,13.4,435,5,1,0,12.1,20.6,2021-08-14T14:00:00Z,90,9,0,0,0,0,1,0,71206,0,1,87,2,0,0,0,60,FALSE,0,1,0
Jorge Luiz Frello Filho,MID,Chelsea,0,0,14,1,21.4,123,3,0,0,4.3,19.6,2021-08-14T14:00:00Z,90,7,0,0,0,0,1,0,328061,0,3,2,3,0,0,0,60,TRUE,0,1,0
Diogo Jota,MID,Liverpool,0,0,21,1,1.9,240,7,0,1,7.6,37.8,2021-08-14T16:30:00Z,60,15,0,0,0,0,1,0,777536,3,0,36,8,0,0,0,75,FALSE,0,1,0
Ilkay Gündogan,MID,Man City,0,0,8,0,7.8,250,10,1,0,5.2,12.4,2021-08-15T15:30:00Z,90,17,0,0,0,0,1,0,577874,0,1,32,2,0,0,0,75,FALSE,0,1,0
Luke Shaw,DEF,Man Utd,0,0,5,0,28.7,275,6,1,0,4.1,6.2,2021-08-14T11:30:00Z,90,10,0,0,0,0,1,0,3743944,1,5,6,1,0,0,0,55,TRUE,1,1,0
Declan Rice,MID,West Ham,0,0,22,0,25.3,421,9,2,0,5.9,27.8,2021-08-15T13:00:00Z,90,14,0,0,0,0,1,0,299441,4,2,6,2,0,0,0,50,FALSE,0,1,0
Ashley Young,DEF,Aston Villa,0,0,13,0,22.7,52,8,3,0,3.7,8.4,2021-08-14T14:00:00Z,90,18,0,0,0,0,1,0,63216,2,3,6,1,0,0,0,50,FALSE,0,1,0
Shane Duffy,DEF,Brighton,0,0,22,0,0.2,56,2,1,0,9.2,34.8,2021-08-14T14:00:00Z,90,5,0,0,0,0,1,0,226602,2,1,57,2,0,0,0,40,FALSE,0,1,1
Juraj Kucka,MID,Watford,0,0,3,1,0.8,495,8,0,0,1.1,8.2,2021-08-14T14:00:00Z,68,2,0,0,0,0,1,0,2737,2,3,2,2,0,0,0,55,TRUE,1,1,0
Tyrone Mings,DEF,Aston Villa,0,0,12,0,0.8,38,8,3,0,1.6,15.6,2021-08-14T14:00:00Z,90,18,0,0,0,0,1,0,572675,2,3,0,0,0,0,0,50,FALSE,1,1,1
Billy Gilmour,MID,Norwich,0,0,14,0,2.1,145,7,3,0,1.4,11.6,2021-08-14T16:30:00Z,90,11,0,0,0,0,1,0,592329,3,0,0,2,0,0,0,45,TRUE,0,1,0
Fernando Luiz Rosa,MID,Man City,0,0,10,0,28.7,453,10,1,0,4.8,11.2,2021-08-15T15:30:00Z,90,17,0,0,0,0,1,0,22889,0,1,8,2,0,0,0,50,FALSE,0,1,0
Raúl Jiménez,FWD,Wolves,0,0,2,0,36.9,430,5,1,0,5.9,4,2021-08-14T14:00:00Z,90,9,0,0,0,0,1,0,240264,0,1,18,2,0,0,0,75,FALSE,0,1,0
