name,position,team,assists,bonus,bps,clean_sheets,creativity,element,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,GW,In_DreamTeam,Season
Fabian Schär,DEF,Newcastle,0,3,43,1,14.6,366,7,0,1,10.6,66,2022-08-06T14:00:00Z,90,16,0,0,0,0,1,0,40132,0,2,25,15,0,0,0,45,TRUE,0,1,0,22-23
Jonny Evans,DEF,Leicester,0,0,15,0,1.3,249,6,2,0,1.5,14,2022-08-07T13:00:00Z,90,4,0,0,0,0,1,0,24256,2,2,0,1,0,0,0,45,TRUE,0,1,0,22-23
Brennan Johnson,FWD,Nott'm Forest,0,0,3,0,0.9,394,7,2,0,0.6,0,2022-08-06T14:00:00Z,90,15,0,0,0,0,1,0,171887,0,2,6,2,0,0,0,60,FALSE,0,1,0,22-23
Cheick Doucouré,MID,Crystal Palace,0,0,16,0,3.8,514,1,1,0,1,5.8,2022-08-05T19:00:00Z,74,1,0,0,0,0,1,0,9875,2,0,0,2,0,0,0,50,TRUE,0,1,0,22-23
Wesley Fofana,DEF,Leicester,0,0,12,0,3.3,272,6,2,0,2.9,19.2,2022-08-07T13:00:00Z,90,4,0,0,0,0,1,0,128115,2,2,6,1,0,0,0,45,TRUE,0,1,0,22-23
Alisson Ramses Becker,GK,Liverpool,0,0,11,0,0,281,4,2,0,0.8,8.2,2022-08-06T11:30:00Z,90,9,0,0,0,0,1,1,1567712,2,2,0,1,0,0,0,55,FALSE,0,1,0,22-23
Tosin Adarabioyo,DEF,Fulham,0,0,11,0,0.4,209,4,2,0,1.9,18.4,2022-08-06T11:30:00Z,90,12,0,0,0,0,1,0,5971,2,2,0,1,0,0,0,45,TRUE,0,1,0,22-23
Marek Rodák,GK,Fulham,0,0,11,0,0,213,4,2,0,1,10.2,2022-08-06T11:30:00Z,90,12,0,0,0,0,1,1,12206,2,2,0,1,0,0,0,45,TRUE,0,1,0,22-23
Rodrigo Hernandez,MID,Man City,0,0,18,1,5.8,315,10,0,0,2.3,16,2022-08-07T15:30:00Z,88,19,0,0,0,0,1,0,220268,2,0,1,3,0,0,0,60,FALSE,0,1,0,22-23
Jack Grealish,MID,Man City,0,0,19,1,29.2,305,10,0,0,5,7.2,2022-08-07T15:30:00Z,90,19,0,0,0,0,1,0,327616,2,0,14,3,0,0,0,70,FALSE,0,1,0,22-23
Leander Dendoncker,MID,Wolves,0,0,21,0,16.5,479,5,2,0,7.8,24.4,2022-08-06T14:00:00Z,90,11,0,0,0,0,1,0,13096,1,2,37,2,0,0,0,50,FALSE,0,1,0,22-23
Aleksandar Mitrović,FWD,Fulham,0,3,57,0,14.7,210,4,2,2,15.5,82,2022-08-06T11:30:00Z,90,12,0,0,0,0,1,0,509091,2,2,58,13,0,0,0,65,TRUE,0,1,0,22-23
Christian Eriksen,MID,Man Utd,0,0,17,0,42.5,519,9,2,0,10.5,28.6,2022-08-07T13:00:00Z,90,5,0,0,0,0,1,0,361793,2,1,34,2,0,0,0,65,TRUE,0,1,0,22-23
Joe Willock,MID,Newcastle,0,0,6,1,14.4,373,7,0,0,8.1,14,2022-08-06T14:00:00Z,79,16,0,0,0,0,1,0,45439,0,2,53,3,0,0,0,50,TRUE,0,1,0,22-23
Roméo Lavia,MID,Southampton,0,0,17,0,4.3,321,8,4,0,2.4,12,2022-08-06T14:00:00Z,90,18,0,0,0,0,1,0,18407,1,4,8,2,0,0,0,45,FALSE,0,1,0,22-23
Joe Ayodele-Aribo,MID,Southampton,0,0,5,0,5.2,512,8,4,0,3.8,9.4,2022-08-06T14:00:00Z,90,18,0,0,0,0,1,0,50924,1,4,23,2,0,0,0,55,FALSE,0,1,0,22-23
Cristian Romero,DEF,Spurs,0,0,11,0,2.7,443,8,1,0,2.4,8,2022-08-06T14:00:00Z,90,17,0,0,0,0,1,0,200747,1,4,13,2,0,0,0,50,TRUE,0,1,0,22-23
Jack Harrison,MID,Leeds,1,2,25,0,78.8,233,5,1,0,12.4,34.8,2022-08-06T14:00:00Z,90,20,0,0,0,0,1,0,79451,1,2,10,6,0,0,0,60,TRUE,1,1,0,22-23
